T(F_e-)_p,mol(susceptibility)_p,T(P_e-)_p,H_zeff,T(Mo_Val_e-)_p,interactive Donar electrons count,S_zeff,SphereEnergy,N_zeff,T_polari(α)_p,T(D_e-)_p,Cl_zeff,mol(R)_p,mol_ms(R)_p,T(S_e-)_p,interactive Acceptore electrons count,mol(orb_exponent),T(Mo_e-)_p,F_zeff,negative ionizable electrones count,C_zeff,T_hard(η)_p,Br_zeff,O_zeff,B_zeff,res
0,-68.85000000000002,84,38.76,126,13,0.0,0.0585056636053563,0.0,32.554800000000014,0,0.0,32.554800000000014,5.857200000000001,140,40,357.72119999999995,224,0.0,28,75.26400000000001,357.72119999999995,0.0,26.718000000000004,0.0,5.785
0,-44.92960000000001,93,43.86,165,7,0.0,0.067011253501184,11.502,21.92580000000001,0,0.0,21.92580000000001,4.0879,172,24,234.4058999999999,265,0.0,24,47.04,234.4058999999999,0.0,4.453,0.0,5.365
0,-9.912,28,8.16,38,13,0.0,0.0332527790873541,0.0,3.8454,0,0.0,3.8454,0.7646000000000001,44,40,68.4536,72,0.0,28,6.272,68.4536,0.0,13.359000000000002,0.0,4.694
0,-47.38090000000001,95,45.9,169,7,0.0,0.0691484088312375,11.502,23.169000000000008,0,0.0,23.169000000000008,4.3043000000000005,176,24,245.44659999999988,271,0.0,24,50.176,245.44659999999988,0.0,4.453,0.0,5.349
0,-40.06920000000001,70,30.6,110,15,0.0,0.0963399355012739,7.668,18.169,0,0.0,18.169,3.34,120,42,220.818,190,0.0,30,37.632000000000005,220.818,0.0,17.812,0.0,4.678
0,-49.790700000000015,87,37.74,147,15,0.0,0.0886134099998022,7.668,24.68950000000001,0,0.0,24.68950000000001,4.935300000000001,156,28,290.2873999999999,243,0.0,28,50.176,290.2873999999999,0.0,13.359000000000002,0.0,4.968
0,-123.30960000000006,134,70.38,189,17,0.0,0.1092109420204484,3.834,57.91670000000006,0,0.0,57.91670000000006,10.455800000000002,217,36,646.9908000000003,351,0.0,46,131.71200000000002,646.9908000000003,0.0,48.983,0.0,5.173
0,-8.0955,36,14.28,60,19,0.0,0.0858932060383011,7.668,3.1348000000000003,0,0.0,3.1348000000000003,0.6278,64,25,52.9981,100,0.0,25,3.136,52.9981,0.0,4.453,0.0,4.918
0,-55.85750000000001,99,39.78,153,14,0.0,0.1014936244395334,7.668,27.382300000000004,0,0.0,27.382300000000004,5.8273,168,28,363.83560000000006,267,0.0,28,50.176,363.83560000000006,0.0,26.718000000000004,0.0,4.908
0,-9.4479,41,11.22,61,18,0.0,0.0604247405682615,3.834,3.3215,0,0.0,3.3215,0.6986000000000001,68,45,70.66290000000001,109,0.0,33,3.136,70.66290000000001,0.0,13.359000000000002,0.0,4.876
0,-31.4992,46,14.28,64,12,5.482,0.0382017334827073,0.0,14.5208,0,0.0,14.5208,2.498,70,37,141.05769999999998,116,0.0,29,25.088,141.05769999999998,0.0,8.906,0.0,4.822
0,-78.02600000000004,100,42.84,140,12,0.0,0.1169503603425134,7.668,37.44370000000003,0,0.0,37.44370000000003,7.6739000000000015,160,41,487.4927000000002,260,0.0,29,72.128,487.4927000000002,0.0,40.077000000000005,0.0,5.325
0,-21.387,58,16.32,74,7,0.0,0.0432172567564962,0.0,9.2712,0,0.0,9.2712,1.7408,86,37,128.07379999999998,144,0.0,29,18.816000000000003,128.07379999999998,0.0,17.812,0.0,4.881
0,-9.7653,28,8.16,38,13,0.0,0.0270334675156362,7.668,3.5878,0,0.0,3.5878,0.7384000000000001,44,15,68.4555,72,0.0,37,3.136,68.4555,0.0,8.906,0.0,4.787
0,-57.99140000000001,89,35.7,133,9,0.0,0.0968292362827921,3.834,28.359200000000005,0,0.0,28.359200000000005,6.0039,148,41,377.0837000000001,237,0.0,29,53.312000000000005,377.0837000000001,0.0,31.171000000000003,0.0,5.328
0,-56.36310000000002,71,35.7,109,9,0.0,0.0650223692620827,7.668,27.62890000000001,0,0.0,27.62890000000001,5.478700000000001,120,41,327.82620000000003,191,0.0,29,56.448,327.82620000000003,0.0,17.812,0.0,5.088
0,-29.8294,51,11.22,59,15,5.482,0.0239742076561964,0.0,14.067799999999998,0,6.116,14.067799999999998,2.3874000000000004,68,29,125.6003,119,0.0,20,25.088,125.6003,0.0,4.453,0.0,4.702
0,-58.81440000000002,73,37.74,113,9,0.0,0.0672020202502816,7.668,28.87210000000001,0,0.0,28.87210000000001,5.695100000000001,124,41,338.86690000000004,197,0.0,29,59.584,338.86690000000004,0.0,17.812,0.0,5.155
0,-56.110200000000006,90,28.56,114,15,10.964,0.0862434153295685,7.668,24.173600000000004,0,0.0,24.173600000000004,3.871,132,47,237.2766,222,0.0,35,37.632000000000005,237.2766,0.0,17.812,0.0,4.716
0,-25.5081,58,14.28,86,7,0.0,0.0264441604410868,0.0,10.9674,0,0.0,10.9674,2.0678,96,36,154.57189999999997,154,0.0,24,21.952,154.57189999999997,0.0,22.265,0.0,4.864
0,-15.5562,50,12.24,70,13,0.0,0.0325771827559199,7.668,5.737,0,0.0,5.737,1.176,80,37,110.411,130,0.0,51,6.272,110.411,0.0,17.812,0.0,4.706
0,-45.140900000000016,93,45.9,165,7,0.0,0.0814546805849206,7.668,22.326400000000003,0,0.0,22.326400000000003,4.328200000000001,172,24,250.2012999999999,265,0.0,24,47.04,250.2012999999999,0.0,8.906,0.0,5.488
0,-54.352800000000016,63,33.660000000000004,111,18,0.0,0.0758916272852845,3.834,26.48930000000001,0,0.0,26.48930000000001,4.6996,116,38,264.9787999999999,179,0.0,30,62.72,264.9787999999999,0.0,8.906,0.0,5.413
0,-22.4859,37,19.38,59,13,0.0,0.0506231283309618,3.834,10.3277,0,0.0,10.3277,1.8864,64,41,121.44969999999998,101,0.0,29,21.952,121.44969999999998,0.0,8.906,0.0,4.905
0,-2.9799999999999995,43,9.18,59,9,0.0,0.0221010765102846,0.0,1.9101,0,6.116,1.9101,0.4965,66,10,24.6287,109,0.0,9,3.136,24.6287,0.0,0.0,0.0,4.643
0,-35.5885,96,40.8,168,7,0.0,0.0581001906955854,7.668,17.4769,0,0.0,17.4769,3.2883000000000004,176,24,188.0338,272,0.0,24,37.632000000000005,188.0338,0.0,4.453,0.0,5.412
0,-2.4513,30,10.2,60,4,0.0,0.0169078449440981,0.0,1.2432,0,0.0,1.2432,0.2164,60,4,11.0407,90,0.0,4,3.136,11.0407,0.0,0.0,0.0,5.45
0,-68.85000000000002,84,36.72,126,14,0.0,0.0593480102571468,0.0,32.554800000000014,0,0.0,32.554800000000014,5.857200000000001,140,40,357.72119999999995,224,0.0,28,75.26400000000001,357.72119999999995,0.0,26.718000000000004,0.0,5.84
0,-11.5818,54,14.28,78,12,0.0,0.0489259848969494,0.0,4.2984,0,0.0,4.2984,0.8752000000000001,88,28,83.911,142,0.0,28,6.272,83.911,0.0,17.812,0.0,4.727
0,-52.89660000000002,83,35.7,121,14,0.0,0.1008787801094679,3.834,23.7815,0,0.0,23.7815,4.387,136,49,298.10299999999995,219,0.0,33,50.176,298.10299999999995,0.0,31.171000000000003,0.0,4.704
0,-74.79320000000001,125,43.86,181,8,0.0,0.0767857599543825,7.668,35.41030000000002,0,0.0,35.41030000000002,7.351700000000001,204,41,480.86870000000016,329,0.0,29,65.85600000000001,480.86870000000016,0.0,44.53,0.0,5.045
