SMILES,res,interactive Donar electrons count,interactive Acceptore electrons count,negative ionizable electrones count,positive_ionizable electrons counts,H_zeff,B_zeff,C_zeff,N_zeff,O_zeff,Cl_zeff,Br_zeff,I_zeff,F_zeff,Na_zeff,Mn_zeff,S_zeff,P_zeff,Ca_zeff,K_zeff,Fe_zeff,Co_zeff,Cu_zeff,Ni_zeff,Au_zeff,Pt_zeff,Si_zeff,T(S_e-)_p,T(P_e-)_p,T(D_e-)_p,T(F_e-)_p,T(Mo_e-)_p,T(Mo_Val_e-)_p,mol(R)_p,mol(orb_exponent),mol_ms(R)_p,mol(susceptibility)_p,T_polari(α)_p,T_hard(η)_p,SphereEnergy
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,4.638,17,49,33,12,32.64,0.0,53.312000000000005,7.668,22.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,72,0,0,192,108,24.838000000000008,291.4789,4.5326,-53.99550000000002,24.838000000000008,291.4789,0.0731789593673203
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,4.705,10,15,15,12,10.2,0.0,9.408,7.668,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,44,0,0,120,70,6.0742,90.5369,1.1712,-14.6679,6.0742,90.5369,0.014376326596826
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl,4.989,8,15,14,12,27.54,0.0,31.36,7.668,0.0,6.116,0.0,0.0,0.0,0.0,0.0,10.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,79,0,0,189,95,19.8752,153.36559999999997,2.9958,-44.528400000000005,19.8752,153.36559999999997,0.0468767488677506
CCCNC(=O)OC[C@@H]1O[C@H](CCO/N=C(\C)CCN2CCc3nc(-c4ccccc4)c(-c4ccccc4)cc3C2)C=C[C@@H]1Oc1ccc(OC)cc1,5.436,12,32,24,12,51.0,0.0,62.72,11.502,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212,122,0,0,334,196,31.74060000000001,394.0724000000001,6.283100000000001,-66.59250000000004,31.74060000000001,394.0724000000001,0.1138134628526982
CC(=O)OC[C@@H]1O[C@H](CCO/N=C(\C)CCN2CCc3nc(-c4ccccc4)c(-c4ccccc4)cc3C2)C=C[C@@H]1OC(C)=O,5.356,9,41,29,12,41.82,0.0,59.584,7.668,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,105,0,0,285,165,29.778100000000016,369.78170000000006,5.916300000000001,-62.15400000000003,29.778100000000016,369.78170000000006,0.0785213363152496
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1.Cl,5.165,12,10,9,12,25.5,0.0,34.496,7.668,0.0,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,49,0,0,127,71,15.1138,147.94769999999997,2.6812,-30.9387,15.1138,147.94769999999997,0.0497076932439628
CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,5.276,12,23,23,12,61.2,0.0,84.672,0.0,44.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172,106,0,0,278,152,38.09640000000002,452.67290000000014,6.9488,-82.8831,38.09640000000002,452.67290000000014,0.1874866466409339
CCc1cc2c(nc1CC)CCN(CC/C(C)=N/O[C@@H](C)c1cc(-c3c(C)cc(C)cc3C)no1)C2,5.673,7,24,24,12,40.8,0.0,50.176,7.668,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,80,0,0,224,136,22.449700000000007,232.1965999999999,4.1539,-45.39370000000001,22.449700000000007,232.1965999999999,0.0459274988480265
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.944,9,35,34,30,16.32,0.0,18.816000000000003,0.0,17.812,6.116,0.0,0.0,0.0,0.0,0.0,5.482,4.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,78,0,0,172,74,16.668999999999997,143.55040000000002,2.3476,-39.072700000000005,16.668999999999997,143.55040000000002,0.0156485292603314
CCc1cc2c(nc1CC)CCN(CC/C(C)=N/OC[C@@H](C)[C@H](OCc1ccccc1)C(C)C)C2,5.649,7,24,24,12,45.9,0.0,59.584,7.668,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,77,0,0,217,133,27.29920000000001,294.36409999999995,5.193800000000001,-54.946100000000015,27.29920000000001,294.36409999999995,0.0694795149548634
